cleName,cleid,siteId,siteName,mirDownlink,mirUplink
Frontline Management (Bermuda) Ltd,128786,2249,San Felipe,8192,4096
Frontline Management (Bermuda) Ltd,128786,3093,Front Ocelot,8192,4096
Frontline Management (Bermuda) Ltd,128786,25559,LEVANT,8192,4096
Frontline Management (Bermuda) Ltd,128786,48045,Golden John,8192,4096
Frontline Management (Bermuda) Ltd,128786,31072,Front Feature H1511,8192,4096
Frontline Management (Bermuda) Ltd,128786,25557,SIROCCO,8192,4096
Frontline Management (Bermuda) Ltd,128786,3073,Sea Orpheus,8192,4096
Frontline Management (Bermuda) Ltd,128786,2347,KSL San Francisco,8192,4096
Frontline Management (Bermuda) Ltd,128786,2356,San Fernando,8192,4096
Frontline Management (Bermuda) Ltd,128786,56467,Golden Earl,8192,4096
Frontline Management (Bermuda) Ltd,128786,4185,Flex Ranger,8192,4096
Frontline Management (Bermuda) Ltd,128786,25556,PASSAT,8192,4096
Frontline Management (Bermuda) Ltd,128786,3000,KSL Seville,8192,4096
Frontline Management (Bermuda) Ltd,128786,2363,KSL Sydney,8192,4096
Frontline Management (Bermuda) Ltd,128786,6874,GOLDEN FRIEND Hull No. B82K-13,8192,4096
Frontline Management (Bermuda) Ltd,128786,31071,Front Favour H1510,8192,4096
Frontline Management (Bermuda) Ltd,128786,41561,Front Orkla H3285,8192,4096
Frontline Management (Bermuda) Ltd,128786,1852,Golden Magnum,8192,4096
Frontline Management (Bermuda) Ltd,128786,879,M/V SFL Humber,8192,4096
Frontline Management (Bermuda) Ltd,128786,6534,GOLDEN COURAGE,8192,4096
Frontline Management (Bermuda) Ltd,128786,942,M/V Battersea,8192,4096
Frontline Management (Bermuda) Ltd,128786,2721,Golden Barnet,8192,4096
Frontline Management (Bermuda) Ltd,128786,2475,KSL Santos,8192,4096
Frontline Management (Bermuda) Ltd,128786,5578,Golden Arion,8192,4096
Frontline Management (Bermuda) Ltd,128786,6025,Golden Keen,8192,4096
Frontline Management (Bermuda) Ltd,128786,3112,Golden Savannah,8192,4096
Frontline Management (Bermuda) Ltd,128786,41525,Front Alta H3240,8192,4096
Frontline Management (Bermuda) Ltd,128786,4403,Front Coral,8192,4096
Frontline Management (Bermuda) Ltd,128786,4119,Flex Rainbow,8192,4096
Frontline Management (Bermuda) Ltd,128786,41471,SFL HAWAII,8192,4096
Frontline Management (Bermuda) Ltd,128786,6777,GOLDEN SPRAY,8192,4096
Frontline Management (Bermuda) Ltd,128786,5460,Golden Houston,8192,4096
Frontline Management (Bermuda) Ltd,128786,6127,Flex Courageous,8192,4096
Frontline Management (Bermuda) Ltd,128786,48053,Golden Star,8192,4096
Frontline Management (Bermuda) Ltd,128786,6094,Golden Sue,8192,4096
Frontline Management (Bermuda) Ltd,128786,6101,Golden Gayle,8192,4096
Frontline Management (Bermuda) Ltd,128786,2901,Golden Swift,8192,4096
Frontline Management (Bermuda) Ltd,128786,3280,Golden Arcus,8192,4096
Frontline Management (Bermuda) Ltd,128786,43009,Thor Highway,8192,4096
Frontline Management (Bermuda) Ltd,128786,4615,Flex Endeavour,8192,4096
Frontline Management (Bermuda) Ltd,128786,2490,SFL Yangtze,8192,4096
Frontline Management (Bermuda) Ltd,128786,7888,Sea Gemini,8192,4096
Frontline Management (Bermuda) Ltd,128786,6686,GOLDEN SKIES,8192,4096
Frontline Management (Bermuda) Ltd,128786,21516,Sea Venus,8192,4096
Frontline Management (Bermuda) Ltd,128786,1907,MV Golden Pearl,8192,4096
Frontline Management (Bermuda) Ltd,128786,1966,Golden Diamond,8192,4096
Frontline Management (Bermuda) Ltd,128786,2260,Front Ull,8192,4096
Frontline Management (Bermuda) Ltd,128786,5036,Front Princess,8192,4096
Frontline Management (Bermuda) Ltd,128786,30556,Green Ace,8192,4096
Frontline Management (Bermuda) Ltd,128786,31068,Front Fusion H1506,8192,4096
Frontline Management (Bermuda) Ltd,128786,48042,Golden Hope,8192,4096
Frontline Management (Bermuda) Ltd,128786,6522,FLEX RESOLUTE Hull No 2480,8192,4096
Frontline Management (Bermuda) Ltd,128786,2231,Golden Daisy,8192,4096
Frontline Management (Bermuda) Ltd,128786,1906,Sea Proteus,8192,4096
Frontline Management (Bermuda) Ltd,128786,6871,GOLDEN FORWARD Hull No. B82K-12,8192,4096
Frontline Management (Bermuda) Ltd,128786,4589,SFL Sabine,8192,4096
RollDock Shipping B.V.,248879,57732,Bigroll Biscay,8192,4096
MIDEAST SHIP MANAGEMENT LTD JLT,174495,1515,Bahri Tabuk,8192,4096
MIDEAST SHIP MANAGEMENT LTD JLT,174495,1288,Sahba,8192,4096
MIDEAST SHIP MANAGEMENT LTD JLT,174495,58108,Bahri Munira,8192,4096
MIDEAST SHIP MANAGEMENT LTD JLT,174495,56422,Bahri Ghadah,8192,4096
MIDEAST SHIP MANAGEMENT LTD JLT,174495,2014,Bahri Wafi,8192,4096
MIDEAST SHIP MANAGEMENT LTD JLT,174495,1673,Bahri Arasco,8192,4096
Maersk Supply Service A/S,251083,21479,Maersk Connector,8192,4096
Maersk Supply Service A/S,251083,22434,Maersk Nomad,8192,4096
TIDEWATER INC.,106250,54959,Pacific Avenger,8192,4096
TIDEWATER INC.,106250,28627,Al Harthy Tide,8192,4096
TIDEWATER INC.,106250,54789,Pacific Gull,8192,4096
TIDEWATER INC.,106250,51507,Pacific Greylag,8192,4096
TIDEWATER INC.,106250,54663,Pacific Goldfinch,8192,4096
TIDEWATER INC.,106250,29007,DEMAREST TIDE,8192,4096
TIDEWATER INC.,106250,28972,SHEPHERD TIDE,8192,4096
TIDEWATER INC.,106250,54797,Pacific Legend,8192,4096
TIDEWATER INC.,106250,54864,Pacific Assegai,8192,4096
TIDEWATER INC.,106250,28615,Ambrosius Tide,8192,4096
TIDEWATER INC.,106250,54793,Pacific Wizard,8192,4096
TIDEWATER INC.,106250,54796,Pacific Porpoise,8192,4096
TIDEWATER INC.,106250,54790,Pacific Dragon,8192,4096
TIDEWATER INC.,106250,54788,Pacific Grebe,8192,4096
TIDEWATER INC.,106250,54664,Pacific Phoenix,8192,4096
TIDEWATER INC.,106250,54725,Pacific Champion,8192,4096
TIDEWATER INC.,106250,54811,Pacific Leader,8192,4096
TIDEWATER INC.,106250,54723,Pacific Viper,8192,4096
TIDEWATER INC.,106250,54898,Pacific Defiance,8192,4096
TIDEWATER INC.,106250,54866,Pacific Panda,8192,4096
TIDEWATER INC.,106250,54728,Pacific Dolphin,8192,4096
